json2tab	VOA_EN_NW_2017_06_10_3894870_0-3	1100	VOA_EN_NW_2017_06_10_3894870_0:40-43	NIL	LOC	PRO	1.0
json2tab	VOA_EN_NW_2017_06_16_3903412_4-4	himself	VOA_EN_NW_2017_06_16_3903412_4:77-83	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_16_3903412_4-5	his	VOA_EN_NW_2017_06_16_3903412_4:121-123	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_21_3775203_0-9	themselves	VOA_EN_NW_2017_03_21_3775203_0:260-269	NIL	ORG	PRO	1.0
json2tab	VOA_EN_NW_2017_06_22_3911111_0-6	he	VOA_EN_NW_2017_06_22_3911111_0:28-29	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_17_3854258_1-8	which	VOA_EN_NW_2017_05_17_3854258_1:49-53	NIL	FAC	PRO	1.0
json2tab	VOA_EN_NW_2017_06_17_3904403_2-5	his	VOA_EN_NW_2017_06_17_3904403_2:46-48	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_03_3748103_0-11	he	VOA_EN_NW_2017_03_03_3748103_0:116-117	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_30_3922738_0-4	some	VOA_EN_NW_2017_06_30_3922738_0:30-33	NIL	WEA	PRO	1.0
json2tab	VOA_EN_NW_2017_06_30_3922738_0-5	their	VOA_EN_NW_2017_06_30_3922738_0:95-99	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_04_11_3805653_0-5	who	VOA_EN_NW_2017_04_11_3805653_0:32-34	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_02_3746604_0-4	his	VOA_EN_NW_2017_03_02_3746604_0:93-95	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_02_09_3715831_0-9	their	VOA_EN_NW_2017_02_09_3715831_0:30-34	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_12_3761985_2-17	her	VOA_EN_NW_2017_03_12_3761985_2:118-120	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_28_3785704_1-10	his	VOA_EN_NW_2017_03_28_3785704_1:87-89	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_0-10	his	VOA_EN_NW_2017_06_27_3918160_0:56-58	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_04_27_3828000_1-8	whose	VOA_EN_NW_2017_04_27_3828000_1:42-46	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_17_3904403_0-5	his	VOA_EN_NW_2017_06_17_3904403_0:23-25	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_01_25_3691253_0-7	one	VOA_EN_NW_2017_01_25_3691253_0:63-65	NIL	FAC	PRO	1.0
json2tab	VOA_EN_NW_2017_06_16_3903412_2-8	their	VOA_EN_NW_2017_06_16_3903412_2:120-124	NIL	PER	PRO	1.0
